"Plot Title: 20376532"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376532, SEN S/N: 20376532)","Host Connected (LGR S/N: 20376532)","Coupler Detached (LGR S/N: 20376532)","Bad Battery (LGR S/N: 20376532)","Coupler Attached (LGR S/N: 20376532)","Stopped (LGR S/N: 20376532)","End Of File (LGR S/N: 20376532)"
450,07/27/19 04:57:09 PM,29.152,,,,,,
451,07/27/19 06:57:09 PM,27.764,,,,,,
452,07/27/19 08:57:09 PM,26.000,,,,,,
453,07/27/19 10:57:09 PM,24.641,,,,,,
454,07/28/19 12:57:09 AM,23.773,,,,,,
455,07/28/19 02:57:09 AM,23.196,,,,,,
456,07/28/19 04:57:09 AM,22.621,,,,,,
457,07/28/19 06:57:09 AM,22.142,,,,,,
458,07/28/19 08:57:09 AM,22.908,,,,,,
459,07/28/19 10:57:09 AM,26.585,,,,,,
460,07/28/19 12:57:09 PM,29.352,,,,,,
461,07/28/19 02:57:09 PM,30.255,,,,,,
462,07/28/19 04:57:09 PM,29.252,,,,,,
463,07/28/19 06:57:09 PM,27.567,,,,,,
464,07/28/19 08:57:09 PM,25.805,,,,,,
465,07/28/19 10:57:09 PM,24.448,,,,,,
