"","site","date","prec","date_parsed","month","day","year"
"413","ME","2016-02-17",0,2016-02-17,2,17,2016
"414","ME","2016-02-18",0,2016-02-18,2,18,2016
"415","ME","2016-02-19",0,2016-02-19,2,19,2016
"416","ME","2016-02-20",0,2016-02-20,2,20,2016
"417","ME","2016-02-21",0,2016-02-21,2,21,2016
"418","ME","2016-02-22",2.4,2016-02-22,2,22,2016
"419","ME","2016-02-23",2.4,2016-02-23,2,23,2016
"420","ME","2016-02-24",7.4,2016-02-24,2,24,2016
"421","ME","2016-02-25",0,2016-02-25,2,25,2016
"422","ME","2016-02-26",0,2016-02-26,2,26,2016
"423","ME","2016-02-27",0,2016-02-27,2,27,2016
"424","ME","2016-02-28",0,2016-02-28,2,28,2016
"425","ME","2016-02-29",0,2016-02-29,2,29,2016
"426","ME","2016-03-01",3.6,2016-03-01,3,1,2016
"427","ME","2016-03-02",1.4,2016-03-02,3,2,2016
"428","ME","2016-03-03",16.9,2016-03-03,3,3,2016
"429","ME","2016-03-04",1.9,2016-03-04,3,4,2016
"430","ME","2016-03-05",0,2016-03-05,3,5,2016
"431","ME","2016-03-06",0,2016-03-06,3,6,2016
"432","ME","2016-03-07",0,2016-03-07,3,7,2016
"433","ME","2016-03-08",0,2016-03-08,3,8,2016
"434","ME","2016-03-09",0,2016-03-09,3,9,2016
"435","ME","2016-03-10",0,2016-03-10,3,10,2016
"436","ME","2016-03-11",0,2016-03-11,3,11,2016
"437","ME","2016-03-12",0,2016-03-12,3,12,2016
"438","ME","2016-03-13",0.4,2016-03-13,3,13,2016
"439","ME","2016-03-14",1.9,2016-03-14,3,14,2016
"440","ME","2016-03-15",0,2016-03-15,3,15,2016
"441","ME","2016-03-16",0,2016-03-16,3,16,2016
"442","ME","2016-03-17",0,2016-03-17,3,17,2016
"443","ME","2016-03-18",0,2016-03-18,3,18,2016
"444","ME","2016-03-19",3.5,2016-03-19,3,19,2016
"445","ME","2016-03-20",6,2016-03-20,3,20,2016
"446","ME","2016-03-21",0,2016-03-21,3,21,2016
"447","ME","2016-03-22",0,2016-03-22,3,22,2016
"448","ME","2016-03-23",0,2016-03-23,3,23,2016
"449","ME","2016-03-24",8,2016-03-24,3,24,2016
"450","ME","2016-03-25",0.4,2016-03-25,3,25,2016
"451","ME","2016-03-26",0,2016-03-26,3,26,2016
"452","ME","2016-03-27",16.7,2016-03-27,3,27,2016
"453","ME","2016-03-28",0,2016-03-28,3,28,2016
"454","ME","2016-03-29",0,2016-03-29,3,29,2016
"455","ME","2016-03-30",0,2016-03-30,3,30,2016
"456","ME","2016-03-31",14.5,2016-03-31,3,31,2016
"457","ME","2016-04-01",6.3,2016-04-01,4,1,2016
"458","ME","2016-04-02",0.9,2016-04-02,4,2,2016
"459","ME","2016-04-03",0,2016-04-03,4,3,2016
"460","ME","2016-04-04",0,2016-04-04,4,4,2016
